2P%,2PA,3P%,3PA,AGE,APG,AST%,BPG,DRTG,EFG%,FG%,FT%,FTA,GM,GP,GS,MIN%,MPG,ORTG,PLAYER,POS,PPG,PTS,RBD,RPG,SPG,TEAM,TOR,TRB%,TS%,USG%,VI,YEAR
0.432,37.0,0.368,19.0,33,4.4,24.4,0.2,,,,0.5,4.0,,5,,68.1,33.4,,Kirk Hinrich,PG,11.0,,,3.0,0.8,Chi,0.16,5.2,0.476,19.8,6.3,2014
0.547,106.0,0.0,0.0,28,1.8,8.6,2.83,,,,0.625,64.0,,6,,75.9,38.3,,Dwight Howard,C,26.0,,,13.7,0.67,Hou,0.124,19.6,0.581,28.3,9.0,2014
0.612,134.0,0.385,13.0,24,0.7,3.5,2.47,,,,0.765,34.0,,17,,68.7,34.0,,Serge Ibaka,PF,12.1,,,6.8,0.65,Okc,0.11,11.4,0.633,14.4,4.5,2014
0.511,47.0,0.533,15.0,30,4.4,18.8,0.29,,,,0.606,33.0,,7,,73.5,35.3,,Andre Iguodala,SF,13.1,,,4.7,1.29,Gol,0.215,7.7,0.601,16.8,7.3,2014
0.5,108.0,0.396,53.0,23,2.4,14.6,0.21,,,,0.886,44.0,,19,,56.2,27.7,,Reggie Jackson,PG,11.1,,,3.8,0.26,Okc,0.174,7.7,0.582,18.9,6.7,2014
0.618,254.0,0.407,86.0,29,4.8,25.9,0.55,,,,0.806,160.0,,20,,79.0,37.9,,LeBron James,PF,27.4,,,7.1,1.85,Mia,0.129,12.4,0.668,31.7,10.3,2014
0.491,53.0,0.0,0.0,29,0.7,4.2,1.67,,,,0.8,5.0,,3,,73.3,35.2,,Al Jefferson,PF,18.7,,,9.3,0.33,Cha,0.018,16.7,0.507,25.4,5.6,2014
0.68,50.0,0.0,2.0,26,1.0,7.3,0.57,,,,0.75,12.0,,7,,56.6,27.1,,Amir Johnson,PF,11.0,,,6.0,0.43,Tor,0.173,13.5,0.672,17.1,6.0,2014
0.3,10.0,0.4,5.0,26,0.0,0.0,0.0,,,,0.7,10.0,,3,,16.5,9.0,,James Johnson,SF,6.3,,,2.0,0.33,Mem,0.0,12.4,0.49,32.9,0.0,2014
0.577,130.0,0.415,53.0,32,2.9,14.5,0.25,,,,0.837,43.0,,12,,81.1,38.9,,Joe Johnson,SG,21.0,,,3.8,0.5,Bro,0.086,6.2,0.624,23.1,6.3,2014
0.375,8.0,0.469,32.0,33,0.3,6.9,0.13,,,,0.667,3.0,,15,,17.1,8.2,,James Jones,SF,3.5,,,0.7,0.2,Mia,0.0,6.0,0.641,17.2,4.4,2014
0.526,38.0,0.0,1.0,22,1.3,8.8,0.5,,,,0.5,12.0,,6,,45.3,22.9,,Terrence Jones,PF,7.7,,,6.2,0.83,Hou,0.043,14.8,0.519,14.4,6.9,2014
0.73,63.0,0.0,0.0,25,0.8,3.2,2.54,,,,0.434,76.0,,13,,70.3,33.7,,DeAndre Jordan,C,9.6,,,12.5,0.92,Lac,0.193,21.3,0.648,11.8,5.4,2014
0.531,32.0,0.0,3.0,22,0.5,17.0,0.0,,,,0.778,18.0,,17,,10.3,5.0,,Cory Joseph,SG,2.8,,,0.5,0.18,San,0.085,6.2,0.559,25.7,7.1,2014
0.538,26.0,0.0,1.0,20,1.5,12.1,0.5,,,,0.6,10.0,,4,,47.0,22.6,,Michael Kidd-Gilchrist,SF,8.5,,,6.5,0.0,Cha,0.203,18.1,0.541,20.8,7.7,2014
0.467,15.0,0.0,0.0,32,1.0,10.4,0.3,,,,0.647,17.0,,10,,29.7,14.3,,Andrei Kirilenko,PF,2.5,,,2.3,1.0,Bro,0.118,10.2,0.556,8.7,5.0,2014
0.583,12.0,0.426,54.0,32,0.7,3.9,0.29,,,,0.917,12.0,,7,,74.1,35.6,,Kyle Korver,SG,13.4,,,5.3,0.57,Atl,0.134,8.5,0.659,15.4,4.1,2014
0.438,16.0,0.0,0.0,24,0.3,8.1,0.43,,,,1.0,4.0,,7,,12.3,6.3,,Kosta Koufos,C,2.6,,,2.1,0.29,Mem,0.145,19.1,0.507,21.7,7.5,2014
0.536,28.0,0.143,14.0,21,0.6,12.5,0.09,,,,1.0,4.0,,11,,17.8,8.9,,Jeremy Lamb,SG,3.6,,,1.5,0.64,Okc,0.064,9.2,0.457,21.7,6.7,2014
0.475,40.0,0.316,19.0,28,1.7,8.9,0.29,,,,0.778,18.0,,7,,62.5,31.8,,Courtney Lee,SG,10.0,,,2.0,0.71,Mem,0.082,3.5,0.523,15.1,4.1,2014
0.532,77.0,0.0,0.0,30,2.6,13.7,0.0,,,,0.789,19.0,,7,,64.4,30.9,,David Lee,PF,13.9,,,9.1,0.57,Gol,0.166,16.9,0.568,20.1,8.9,2014
0.552,165.0,0.419,74.0,22,1.7,7.9,0.65,,,,0.736,72.0,,23,,65.9,31.8,,Kawhi Leonard,SF,14.3,,,6.7,1.7,San,0.097,12.4,0.606,19.1,6.9,2014
0.4,5.0,0.5,2.0,24,0.7,15.5,0.0,,,,1.0,2.0,,3,,13.4,7.3,,Jon Leuer,PF,3.0,,,2.7,0.33,Mem,0.0,20.4,0.571,16.5,9.8,2014
0.5,26.0,0.373,59.0,34,0.3,2.5,0.33,,,,0.75,4.0,,18,,36.5,17.5,,Rashard Lewis,SF,5.3,,,2.1,0.39,Mia,0.054,8.0,0.547,14.9,3.4,2014
0.471,119.0,0.386,70.0,23,6.5,26.0,0.09,,,,0.894,66.0,,11,,85.3,42.1,,Damian Lillard,PG,22.9,,,5.1,1.0,Por,0.121,6.6,0.578,23.5,8.7,2014
0.526,38.0,0.217,23.0,25,4.3,22.2,0.17,,,,0.813,16.0,,6,,58.0,29.3,,Jeremy Lin,PG,11.3,,,3.7,0.5,Hou,0.16,6.9,0.5,19.6,7.7,2014
0.506,85.0,1.0,1.0,28,3.3,21.1,0.42,,,,0.73,37.0,,12,,56.0,26.9,,Shaun Livingston,PG,9.7,,,3.5,0.42,Bro,0.177,8.2,0.567,18.8,7.2,2014
0.489,88.0,0.0,0.0,25,0.8,3.7,1.82,,,,0.667,36.0,,11,,67.1,33.1,,Robin Lopez,C,10.0,,,9.1,0.55,Por,0.096,14.9,0.53,13.8,5.0,2014
0.409,66.0,0.395,43.0,27,4.7,23.6,0.0,,,,0.878,49.0,,7,,80.4,38.6,,Kyle Lowry,PG,21.1,,,4.7,0.86,Tor,0.133,7.4,0.567,26.2,8.0,2014
0.45,20.0,0.37,27.0,24,3.6,45.7,0.0,,,,0.75,12.0,,7,,34.8,16.7,,Shelvin Mack,PG,8.1,,,1.9,0.57,Atl,0.103,6.3,0.545,23.2,9.1,2014
0.481,27.0,0.0,0.0,27,0.2,2.0,0.79,,,,0.611,18.0,,19,,26.0,12.5,,Ian Mahinmi,C,1.9,,,2.4,0.26,Ind,0.205,11.7,0.53,9.0,3.1,2014
0.488,41.0,0.222,18.0,35,1.9,10.0,0.14,,,,0.636,11.0,,7,,56.1,26.9,,Shawn Marion,SF,8.4,,,5.3,0.86,Dal,0.073,11.5,0.462,16.5,6.5,2014
0.5,68.0,0.324,68.0,27,1.3,5.1,0.45,,,,0.813,32.0,,11,,78.1,38.6,,Wesley Matthews,SG,14.5,,,3.8,1.27,Por,0.128,5.4,0.533,17.8,4.3,2014
0.438,16.0,0.471,17.0,26,3.8,16.2,0.25,,,,0.8,10.0,,4,,79.7,38.3,,Josh McRoberts,PF,11.5,,,6.8,1.0,Cha,0.138,11.1,0.615,13.5,7.0,2014
0.474,38.0,0.333,3.0,37,0.8,16.0,0.0,,,,0.556,9.0,,11,,19.9,9.6,,Andre Miller,SG,4.0,,,1.0,0.18,Was,0.151,6.0,0.489,23.6,6.1,2014
0.077,13.0,0.483,29.0,33,1.3,8.3,0.0,,,,0.778,9.0,,7,,48.3,24.5,,Mike Miller,SF,7.3,,,3.7,0.86,Mem,0.098,8.5,0.555,13.6,5.3,2014
0.5,62.0,0.405,79.0,25,1.4,14.9,0.04,,,,0.769,13.0,,23,,31.2,15.0,,Patrick Mills,PG,7.3,,,1.5,0.74,San,0.087,5.9,0.573,21.6,6.6,2014
0.421,76.0,0.333,27.0,28,2.9,15.8,1.86,,,,0.804,56.0,,7,,79.0,37.9,,Paul Millsap,PF,19.4,,,10.9,1.43,Atl,0.135,16.3,0.533,25.9,9.0,2014
0.424,33.0,0.222,18.0,29,1.0,7.3,0.0,,,,0.714,7.0,,4,,53.8,25.8,,Gary Neal,SG,11.3,,,2.0,0.0,Cha,0.129,4.9,0.416,28.7,4.4,2014
0.512,41.0,0.0,0.0,28,4.6,19.1,1.4,,,,0.588,17.0,,5,,85.2,41.7,,Joakim Noah,C,10.4,,,12.8,0.8,Chi,0.282,17.7,0.536,15.6,8.1,2014
0.465,114.0,0.083,12.0,35,1.6,6.8,0.86,,,,0.806,31.0,,7,,78.5,37.7,,Dirk Nowitzki,PF,19.1,,,8.0,0.86,Dal,0.097,12.4,0.48,26.4,6.6,2014
0.563,32.0,0.0,0.0,35,0.1,2.1,0.43,,,,0.75,8.0,,7,,24.6,11.8,,Jermaine O'Neal,PF,6.0,,,3.4,0.14,Gol,0.101,16.6,0.591,20.4,4.3,2014
0.498,311.0,0.371,35.0,31,4.8,26.4,0.04,,,,0.729,70.0,,23,,64.4,31.1,,Tony Parker,PG,17.4,,,2.0,0.65,San,0.141,3.7,0.531,28.5,7.1,2014
0.478,69.0,0.361,36.0,25,2.3,9.0,0.33,,,,0.733,15.0,,6,,82.2,41.5,,Chandler Parsons,SF,19.3,,,6.8,0.67,Hou,0.043,9.1,0.52,19.9,6.5,2014
0.633,30.0,0.389,18.0,24,1.3,8.3,0.43,,,,0.778,18.0,,7,,58.9,28.3,,Patrick Patterson,PF,10.4,,,6.7,0.43,Tor,0.097,14.5,0.653,14.7,6.3,2014
0.472,127.0,0.457,70.0,28,10.4,46.0,0.0,,,,0.774,53.0,,13,,75.3,36.1,,Chris Paul,PG,19.8,,,4.2,2.85,Lac,0.15,6.7,0.583,24.0,10.6,2014
0.533,45.0,0.0,0.0,29,0.7,5.4,0.32,,,,0.8,15.0,,19,,40.6,20.0,,Kendrick Perkins,C,3.2,,,5.4,0.21,Okc,0.326,15.2,0.581,9.2,4.6,2014
0.539,76.0,0.358,53.0,36,2.0,11.7,0.33,,,,0.781,32.0,,12,,63.6,30.5,,Paul Pierce,SF,13.7,,,4.5,1.17,Bro,0.123,9.3,0.573,21.8,6.5,2014
0.438,16.0,0.0,0.0,23,0.2,2.7,0.7,,,,0.444,18.0,,10,,23.3,11.2,,Mason Plumlee,PF,2.2,,,2.3,0.3,Bro,0.273,13.0,0.46,14.4,3.6,2014
0.409,22.0,0.25,4.0,33,0.9,8.5,0.0,,,,0.0,0.0,,7,,31.2,15.9,,Tayshaun Prince,SF,3.0,,,1.4,0.14,Mem,0.037,5.0,0.404,11.2,3.9,2014
0.408,103.0,0.0,1.0,32,2.3,11.1,0.17,,,,0.61,41.0,,6,,75.7,38.8,,Zach Randolph,PF,18.2,,,8.7,0.83,Mem,0.076,12.5,0.447,26.0,7.4,2014
0.515,68.0,0.4,65.0,29,1.5,8.4,0.0,,,,0.962,26.0,,13,,56.0,26.9,,J.J. Redick,SG,13.3,,,1.7,0.85,Lac,0.083,3.6,0.599,19.6,4.8,2014
0.286,7.0,0.333,6.0,32,3.0,56.5,0.25,,,,0.0,0.0,,4,,18.7,9.0,,Luke Ridnour,PG,2.5,,,1.0,0.0,Cha,0.235,7.0,0.385,22.6,8.7,2014
0.419,31.0,0.0,0.0,22,0.5,7.5,0.45,,,,0.857,7.0,,11,,22.0,10.9,,Thomas Robinson,PF,2.9,,,2.6,0.45,Por,0.128,13.1,0.469,14.3,5.7,2014
0.435,23.0,0.167,24.0,22,0.3,2.2,0.43,,,,0.6,5.0,,7,,46.5,22.3,,Terrence Ross,SG,5.0,,,2.0,0.86,Tor,0.14,5.5,0.356,17.2,2.6,2014
0.6,5.0,0.167,12.0,34,0.8,10.8,0.0,,,,1.0,1.0,,6,,26.1,12.5,,John Salmons,SG,2.2,,,1.0,0.33,Tor,0.054,4.9,0.373,11.5,3.9,2014
0.461,102.0,0.333,3.0,33,0.5,7.5,0.17,,,,0.591,22.0,,18,,27.6,13.3,,Luis Scola,PF,6.1,,,2.3,0.33,Ind,0.058,10.6,0.48,24.9,5.8,2014
0.406,32.0,0.323,31.0,25,0.4,4.4,0.0,,,,0.714,14.0,,7,,43.1,20.7,,Mike Scott,PF,9.4,,,2.6,0.14,Atl,0.028,7.1,0.477,22.9,4.1,2014
0.531,32.0,0.261,23.0,29,0.7,6.7,0.0,,,,0.8,5.0,,15,,31.2,15.5,,Thabo Sefolosha,SG,3.7,,,2.1,0.67,Okc,0.109,7.6,0.49,12.6,4.5,2014
0.5,4.0,0.0,5.0,22,0.4,6.9,0.2,,,,0.0,0.0,,5,,18.7,9.2,,Tony Snell,SG,0.8,,,1.2,0.2,Chi,0.1,7.6,0.222,10.5,3.2,2014
0.528,36.0,0.0,0.0,26,0.4,8.8,0.57,,,,0.5,12.0,,7,,19.9,9.5,,Marreese Speights,C,6.3,,,3.1,0.29,Gol,0.046,18.9,0.533,27.6,8.4,2014
0.616,99.0,0.0,1.0,29,2.0,12.7,0.48,,,,0.718,71.0,,23,,46.2,22.3,,Tiago Splitter,C,7.5,,,6.1,0.7,San,0.121,16.0,0.659,13.5,8.1,2014
0.497,153.0,0.358,67.0,23,4.2,20.4,0.21,,,,0.714,49.0,,19,,77.0,36.9,,Lance Stephenson,SG,13.6,,,6.9,0.84,Ind,0.16,11.3,0.536,20.0,7.9,2014
0.412,85.0,0.333,27.0,25,5.0,32.5,0.57,,,,0.95,40.0,,7,,71.5,34.3,,Jeff Teague,PG,19.3,,,3.7,1.0,Atl,0.139,6.2,0.521,29.1,8.3,2014
0.654,26.0,0.339,56.0,28,0.3,2.5,0.17,,,,0.667,12.0,,12,,37.8,18.1,,Mirza Teletovic,SF,8.3,,,3.3,0.42,Bro,0.054,11.6,0.567,20.7,4.5,2014
0.444,54.0,0.364,44.0,23,3.6,15.3,0.71,,,,0.792,24.0,,7,,76.0,36.5,,Klay Thompson,SG,16.4,,,3.4,1.0,Gol,0.121,5.4,0.53,20.6,6.4,2014
0.485,33.0,0.238,21.0,26,0.1,1.5,0.1,,,,0.667,18.0,,10,,25.5,12.2,,Marcus Thornton,SG,5.9,,,1.9,0.2,Bro,0.031,9.8,0.476,25.6,3.4,2014
0.0,0.0,0.5,2.0,28,0.3,7.6,0.0,,,,1.0,3.0,,4,,10.4,5.0,,Anthony Tolliver,PF,1.5,,,1.0,0.0,Cha,0.0,12.5,0.904,7.9,6.1,2014
0.667,3.0,0.4,10.0,34,0.2,3.7,0.0,,,,0.0,0.0,,5,,16.8,8.1,,Hedo Turkoglu,SF,3.2,,,1.0,0.6,Lac,0.0,7.1,0.615,14.0,4.3,2014
0.393,28.0,0.571,7.0,25,1.6,21.6,0.0,,,,1.0,5.0,,12,,25.5,12.3,,Evan Turner,SF,3.3,,,2.2,0.33,Ind,0.212,10.7,0.524,15.7,7.4,2014
0.515,33.0,0.333,12.0,31,1.7,19.6,0.0,,,,0.692,13.0,,7,,32.0,16.3,,Beno Udrih,SG,7.9,,,1.7,0.43,Mem,0.151,5.9,0.542,24.1,7.0,2014
0.633,49.0,0.0,0.0,21,0.3,1.9,1.0,,,,0.636,22.0,,7,,59.3,28.4,,Jonas Valanciunas,C,10.9,,,9.7,0.0,Tor,0.245,20.8,0.648,18.3,4.5,2014
0.459,37.0,0.37,27.0,27,5.1,35.5,0.14,,,,0.778,9.0,,7,,56.0,26.9,,Greivis Vasquez,SG,10.1,,,3.7,0.57,Tor,0.128,8.4,0.522,19.5,8.6,2014
0.512,254.0,0.375,24.0,32,3.9,20.8,0.25,,,,0.767,90.0,,20,,71.8,34.5,,Dwyane Wade,SG,17.8,,,3.9,1.5,Mia,0.145,7.4,0.56,27.5,7.5,2014
0.452,31.0,0.5,24.0,23,6.0,29.6,0.75,,,,0.778,18.0,,4,,79.2,38.0,,Kemba Walker,PG,19.5,,,3.8,2.0,Cha,0.193,6.2,0.62,24.4,8.0,2014
0.402,132.0,0.219,32.0,23,7.1,33.0,0.73,,,,0.765,68.0,,11,,78.2,37.9,,John Wall,PG,16.3,,,4.0,1.64,Was,0.157,6.1,0.462,26.1,8.2,2014
0.42,50.0,0.4,40.0,29,0.9,9.0,0.05,,,,0.607,28.0,,19,,37.1,17.8,,C.J. Watson,PG,5.6,,,2.1,0.84,Ind,0.12,7.2,0.523,16.8,4.9,2014
0.6,15.0,0.231,26.0,27,0.5,4.1,0.45,,,,0.667,9.0,,11,,36.1,17.5,,Martell Webster,SF,3.8,,,2.3,0.36,Was,0.082,7.5,0.467,12.0,3.7,2014
0.506,235.0,0.2,10.0,33,3.9,20.9,0.79,,,,0.705,61.0,,19,,75.0,36.0,,David West,PF,15.1,,,6.7,0.74,Ind,0.137,11.2,0.528,22.5,8.1,2014
0.466,298.0,0.28,100.0,25,8.1,40.6,0.32,,,,0.884,164.0,,19,,78.2,38.6,,Russell Westbrook,PG,26.7,,,7.3,2.16,Okc,0.15,10.7,0.539,34.4,12.1,2014
0.43,100.0,0.34,53.0,29,5.8,28.3,0.17,,,,0.8,45.0,,12,,73.9,35.5,,Deron Williams,PG,14.7,,,3.2,1.08,Bro,0.135,5.6,0.509,22.9,7.3,2014
0.412,34.0,0.313,16.0,27,1.1,12.5,0.14,,,,0.938,16.0,,7,,39.1,18.8,,Louis Williams,PG,8.3,,,2.3,1.0,Atl,0.186,6.9,0.508,24.8,5.9,2014
0.447,38.0,0.238,21.0,31,1.9,12.3,0.0,,,,0.909,11.0,,8,,46.3,23.1,,Mo Williams,PG,7.4,,,1.5,0.38,Por,0.18,3.5,0.462,18.5,4.8,2014
0.833,18.0,0.0,0.0,26,1.3,13.9,1.0,,,,0.5,6.0,,6,,30.9,14.8,,Brandan Wright,C,5.5,,,2.0,0.33,Dal,0.088,7.9,0.799,11.5,6.6,2014
0.429,7.0,0.333,12.0,28,0.4,5.0,1.13,,,,0.733,15.0,,8,,21.6,10.8,,Dorell Wright,SF,3.6,,,2.0,0.38,Por,0.163,10.1,0.566,15.6,5.3,2014
0.333,9.0,0.0,0.0,21,0.5,5.9,0.75,,,,0.5,4.0,,4,,27.3,13.1,,Cody Zeller,C,2.0,,,2.3,0.0,Cha,0.157,10.8,0.372,11.6,4.0,2014
0.48,25.0,0.111,9.0,28,1.8,32.0,0.17,,,,0.6,5.0,,6,,23.0,11.0,,Aaron Brooks,PG,5.0,,,1.5,0.17,Hou,0.142,7.6,0.414,28.1,8.7,2013
0.494,83.0,0.0,0.0,26,3.0,16.9,0.83,,,,0.667,27.0,,6,,75.3,36.2,,Al Horford,C,16.7,,,8.8,1.0,Atl,0.087,13.4,0.527,22.7,8.4,2013
0.5,58.0,0.0,0.0,26,1.3,12.5,0.43,,,,0.824,17.0,,7,,38.9,19.5,,Andray Blatche,PF,10.3,,,4.9,0.29,Bro,0.071,14.9,0.55,24.3,8.3,2013
0.511,47.0,0.483,29.0,29,5.3,21.4,0.33,,,,0.72,25.0,,6,,84.2,40.4,,Andre Iguodala,SG,18.0,,,8.0,2.0,Den,0.163,11.6,0.621,18.3,9.0,2013
0.414,58.0,0.455,11.0,36,3.8,25.6,0.0,,,,0.778,27.0,,6,,53.2,25.5,,Andre Miller,PG,14.0,,,3.3,0.33,Den,0.165,7.7,0.519,27.0,8.8,2013
0.582,67.0,0.0,0.0,28,1.8,10.1,1.5,,,,0.348,23.0,,12,,54.9,27.0,,Andrew Bogut,C,7.2,,,10.9,0.5,Gol,0.222,22.6,0.558,13.6,7.7,2013
0.538,26.0,0.2,10.0,24,1.0,7.3,0.0,,,,1.0,2.0,,3,,55.3,26.5,,Andrew Goudelock,PG,12.0,,,1.7,1.67,Lal,0.098,3.7,0.488,24.0,4.1,2013
0.455,11.0,0.417,12.0,36,0.3,2.2,0.5,,,,0.667,6.0,,4,,40.5,19.4,,Antawn Jamison,SF,7.3,,,1.8,0.25,Lal,0.105,5.3,0.566,17.2,3.3,2013
0.333,3.0,0.636,11.0,27,0.2,2.7,0.17,,,,0.333,3.0,,6,,23.3,11.2,,Anthony Tolliver,PF,4.0,,,1.5,0.17,Atl,0.061,7.3,0.783,11.6,3.8,2013
0.441,34.0,0.25,8.0,22,1.3,8.5,0.17,,,,1.0,4.0,,6,,64.9,31.7,,Avery Bradley,PG,6.7,,,2.2,1.83,Bos,0.201,4.1,0.457,14.7,3.4,2013
0.453,64.0,0.0,0.0,23,2.5,17.5,0.83,,,,0.808,26.0,,6,,54.3,26.0,,Blake Griffin,PF,13.2,,,5.5,0.0,Lac,0.147,13.5,0.524,27.4,8.7,2013
0.472,36.0,0.385,13.0,30,1.7,14.7,0.2,,,,0.857,14.0,,15,,33.3,16.6,,Boris Diaw,C,4.1,,,2.5,0.27,San,0.191,8.7,0.553,12.9,6.2,2013
0.483,29.0,0.0,0.0,27,1.2,6.7,0.17,,,,0.8,15.0,,6,,69.1,33.8,,Brandon Bass,PF,6.7,,,6.7,0.33,Bos,0.123,11.9,0.562,10.2,4.5,2013
0.379,29.0,0.214,28.0,23,4.0,21.4,0.25,,,,0.722,18.0,,4,,68.9,33.1,,Brandon Jennings,PG,13.3,,,2.3,2.25,Mil,0.145,4.2,0.408,27.0,6.0,2013
0.467,122.0,1.0,1.0,24,1.4,7.4,3.0,,,,0.886,44.0,,7,,74.6,37.4,,Brook Lopez,C,22.3,,,7.4,0.86,Bro,0.101,11.9,0.548,28.5,6.6,2013
0.5,40.0,0.267,15.0,28,1.9,13.8,0.14,,,,0.667,12.0,,7,,45.5,22.8,,C.J. Watson,PG,8.6,,,2.4,0.71,Bro,0.016,6.4,0.498,18.1,6.0,2013
0.52,100.0,0.0,0.0,29,1.4,12.1,0.17,,,,0.731,52.0,,12,,41.1,20.3,,Carl Landry,PF,11.8,,,5.2,0.58,Gol,0.134,14.3,0.578,26.0,8.7,2013
0.497,167.0,0.0,1.0,31,1.5,8.1,0.08,,,,0.689,45.0,,12,,72.4,35.7,,Carlos Boozer,PF,16.4,,,9.6,0.83,Chi,0.134,16.5,0.524,23.9,6.9,2013
0.444,9.0,0.355,31.0,30,2.0,14.2,0.2,,,,1.0,4.0,,5,,49.8,23.9,,Carlos Delfino,SF,9.0,,,2.4,0.6,Hou,0.107,5.6,0.539,17.2,5.9,2013
0.431,253.0,0.298,57.0,28,1.6,9.4,0.17,,,,0.885,87.0,,12,,82.4,39.9,,Carmelo Anthony,SF,28.8,,,6.6,1.08,Nyk,0.082,9.8,0.497,38.2,6.7,2013
0.6,30.0,0.25,16.0,32,0.0,0.0,0.33,,,,1.0,3.0,,6,,46.6,22.4,,Caron Butler,SF,8.5,,,2.7,0.33,Lac,0.113,7.6,0.539,19.3,0.0,2013
0.491,53.0,0.4,40.0,24,3.7,17.3,0.33,,,,0.643,14.0,,6,,82.1,39.4,,Chandler Parsons,SF,18.2,,,6.5,0.17,Hou,0.154,9.2,0.55,21.8,7.7,2013
0.263,19.0,0.353,17.0,36,1.0,8.2,0.17,,,,0.818,11.0,,6,,39.7,19.1,,Chauncey Billups,PG,6.2,,,2.0,0.17,Lac,0.164,6.7,0.453,20.7,4.8,2013
0.807,57.0,0.0,0.0,34,0.2,1.7,1.1,,,,0.735,49.0,,20,,30.8,14.9,,Chris Andersen,PF,6.4,,,3.8,0.45,Mia,0.123,15.7,0.815,14.5,4.5,2013
0.468,203.0,0.405,37.0,28,1.5,7.7,1.57,,,,0.733,60.0,,23,,67.1,32.5,,Chris Bosh,C,12.1,,,7.3,1.04,Mia,0.092,13.8,0.524,19.0,6.3,2013
0.143,7.0,0.478,23.0,28,0.1,2.0,0.0,,,,1.0,2.0,,9,,20.9,10.2,,Chris Copeland,PF,4.1,,,1.0,0.56,Nyk,0.115,5.8,0.599,18.4,2.9,2013
0.333,3.0,0.375,8.0,30,3.5,15.7,0.5,,,,0.0,0.0,,2,,70.3,33.8,,Chris Duhon,PG,5.5,,,1.5,1.0,Lal,0.313,2.6,0.5,11.1,3.6,2013
0.589,73.0,0.316,19.0,27,6.3,33.3,0.0,,,,0.892,37.0,,6,,77.3,37.1,,Chris Paul,PG,22.8,,,4.0,1.83,Lac,0.077,6.9,0.633,25.5,9.0,2013
0.375,32.0,0.25,36.0,26,1.2,7.6,0.17,,,,0.667,21.0,,6,,50.5,24.2,,Corey Brewer,SF,10.8,,,1.8,1.0,Den,0.083,4.4,0.421,24.8,4.7,2013
0.348,23.0,0.396,48.0,25,0.7,7.2,0.0,,,,0.806,31.0,,19,,34.0,16.4,,D.J. Augustin,PG,5.2,,,0.8,0.37,Ind,0.106,2.8,0.579,14.2,3.5,2013
0.397,68.0,0.482,112.0,25,1.5,7.3,1.15,,,,0.8,15.0,,20,,64.4,31.9,,Danny Green,SG,11.4,,,4.2,1.0,San,0.088,7.5,0.611,15.2,5.2,2013
0.5,26.0,0.333,9.0,22,3.0,20.4,0.0,,,,0.778,9.0,,4,,54.2,26.0,,Darius Morris,PG,10.5,,,1.3,0.5,Lal,0.133,2.8,0.539,20.2,5.3,2013
0.488,43.0,0.0,2.0,24,0.3,4.6,0.21,,,,0.889,9.0,,14,,22.4,11.0,,Darrell Arthur,PF,3.6,,,2.3,0.14,Mem,0.109,12.4,0.511,16.7,4.9,2013
0.394,33.0,0.0,0.0,29,0.8,13.3,0.17,,,,0.667,6.0,,6,,21.1,10.7,,David Lee,PF,5.0,,,4.7,0.5,Gol,0.123,24.5,0.421,28.3,9.9,2013
0.467,246.0,0.0,3.0,32,2.1,11.4,0.79,,,,0.766,94.0,,19,,74.7,36.1,,David West,PF,15.9,,,7.6,0.63,Ind,0.134,12.4,0.52,22.9,7.0,2013
0.455,22.0,0.0,0.0,24,0.2,1.1,1.67,,,,0.222,9.0,,6,,49.7,23.8,,DeAndre Jordan,C,3.7,,,6.3,0.17,Lac,0.257,17.0,0.424,11.8,2.8,2013
0.421,19.0,0.471,51.0,38,0.7,5.2,0.09,,,,0.667,12.0,,11,,48.6,23.6,,Derek Fisher,PG,8.7,,,1.5,0.64,Okc,0.096,3.7,0.638,14.7,3.5,2013
0.444,63.0,0.395,43.0,28,8.4,34.8,0.57,,,,0.822,45.0,,7,,82.9,41.6,,Deron Williams,PG,20.6,,,3.1,1.0,Bro,0.143,4.5,0.572,23.8,7.8,2013
0.0,0.0,0.6,5.0,31,0.3,3.7,0.0,,,,0.0,0.0,,4,,23.3,11.2,,DeShawn Stevenson,SG,2.3,,,2.5,0.0,Atl,0.286,12.3,0.9,7.5,4.3,2013
0.474,38.0,0.2,25.0,29,3.7,17.0,0.17,,,,0.68,25.0,,6,,77.6,37.3,,Devin Harris,SG,11.3,,,2.8,1.67,Atl,0.14,4.2,0.459,18.3,5.2,2013
0.455,33.0,0.391,23.0,22,1.6,12.6,0.83,,,,0.765,17.0,,12,,37.3,18.4,,Draymond Green,SF,5.8,,,4.3,0.5,Gol,0.159,13.0,0.551,15.2,7.4,2013
0.619,42.0,0.0,0.0,27,1.0,6.2,2.0,,,,0.444,36.0,,4,,65.3,31.3,,Dwight Howard,C,17.0,,,10.8,0.5,Lal,0.217,20.0,0.588,27.5,7.3,2013
0.461,310.0,0.25,4.0,31,4.8,24.4,1.05,,,,0.75,80.0,,22,,72.9,35.3,,Dwyane Wade,SG,15.9,,,4.6,1.68,Mia,0.145,8.1,0.5,25.5,8.0,2013
0.467,15.0,0.0,4.0,25,0.5,3.9,0.25,,,,0.0,0.0,,4,,42.2,20.2,,Earl Clark,PF,3.5,,,3.0,0.25,Lal,0.24,8.6,0.368,14.4,3.4,2013
