2P%,2PA,3P%,3PA,AGE,APG,AST%,BPG,DRTG,EFG%,FG%,FT%,FTA,GM,GP,GS,MIN%,MPG,ORTG,PLAYER,POS,PPG,PTS,RBD,RPG,SPG,TEAM,TOR,TRB%,TS%,USG%,VI,YEAR
0.371,70.0,0.0,1.0,20,2.7,14.3,1.5,,,,0.739,23.0,,6,,69.7,33.5,,Giannis Antetokounmpo,SG,11.5,,,7.0,0.5,Mil,0.119,11.1,0.425,20.6,7.2,2015
0.459,37.0,0.0,1.0,29,0.2,3.0,0.36,,,,0.778,9.0,,14,,21.4,10.3,,Glen Davis,PF,2.9,,,1.9,0.36,Lac,0.177,9.9,0.489,15.4,4.0,2015
0.4,15.0,0.357,14.0,28,3.0,18.6,0.0,,,,1.0,3.0,,4,,52.7,25.3,,Greivis Vasquez,PG,7.5,,,1.8,0.5,Tor,0.117,3.9,0.495,15.2,5.4,2015
0.478,138.0,0.355,62.0,22,1.6,7.4,0.52,,,,0.735,34.0,,21,,67.6,32.4,,Harrison Barnes,SF,10.6,,,5.2,0.81,Gol,0.093,8.8,0.519,15.6,5.5,2015
0.5,4.0,0.154,13.0,35,0.4,9.9,0.09,,,,0.0,0.0,,11,,10.3,5.0,,Hedo Turkoglu,SF,0.9,,,0.6,0.36,Lac,0.105,6.8,0.294,15.1,4.8,2015
0.366,71.0,0.355,93.0,24,1.2,5.3,0.8,,,,0.75,40.0,,20,,72.4,34.8,,Iman Shumpert,SG,9.1,,,4.9,1.25,Cle,0.067,7.8,0.498,12.7,4.3,2015
0.417,36.0,0.167,18.0,25,7.0,40.9,0.0,,,,0.969,32.0,,4,,62.2,29.8,,Isaiah Thomas,PG,17.5,,,3.0,0.75,Bos,0.171,5.5,0.514,30.7,9.6,2015
0.5,64.0,0.359,142.0,29,1.2,7.0,0.56,,,,0.7,20.0,,18,,64.8,31.1,,J.R. Smith,SG,12.8,,,4.7,0.94,Cle,0.065,8.4,0.538,18.6,5.4,2015
0.632,19.0,0.3,10.0,24,2.0,13.9,0.75,,,,0.769,13.0,,4,,52.3,25.1,,Jae Crowder,SF,10.8,,,5.0,1.0,Bos,0.126,10.9,0.619,17.7,7.6,2015
0.438,112.0,0.243,74.0,34,1.9,11.1,0.21,,,,0.867,30.0,,14,,56.5,27.1,,Jamal Crawford,SG,12.7,,,2.1,0.93,Lac,0.079,4.2,0.447,24.7,5.5,2015
0.471,187.0,0.383,107.0,25,7.5,35.0,0.41,,,,0.916,178.0,,17,,77.9,37.4,,James Harden,SG,27.2,,,5.7,1.65,Hou,0.171,7.9,0.62,29.5,11.2,2015
0.333,6.0,0.0,0.0,27,0.5,14.5,0.0,,,,0.0,6.0,,2,,12.4,6.0,,James Johnson,PF,2.0,,,1.0,0.0,Tor,0.0,9.5,0.231,32.6,6.7,2015
